a 啊 阿 嗄 腌 锕 
a#ba 阿爸 
bi#lu#dian#shi 闭路电视 
bi#lv 比率 碧绿 
bi#mei 比美 
bi#men 闭门 
bi#men#zao#che 闭门造车 
bi#mian 避免 
bi#ming 笔名 
bi#mo 笔墨 
bi#mu 闭幕 
bi#mu#shi 闭幕式 
bi#nan 避难 
bi#ni 比拟 
bi#po 逼迫 
bi#qi 比起 
bi#qi#lai 比起来 
bi#ran 必然 
bi#ran#xing 必然性 
bi#ren 逼人 
bi#ri 蔽日 
bi#ru 比如 
bi#sa 比萨 
bi#sa#bing 比萨饼 
bi#sai 比赛 
bi#se 闭塞 
bi#shang 闭上 
bi#sheng 毕生 必胜 
bi#shi 逼使 比试 鄙视 笔试 
bi#shi#kai#ke 比什凯克 
bi#shou 匕首 
bi#shu 避暑 
bi#shui 碧水 避税 
bi#suo 比索 
bi#tan 笔谈 
bi#te 比特 
bi#ting 笔挺 
bi#wu 比武 
bi#xia 笔下 陛下 
bi#xiu 必修 
bi#xiu#ke 必修课 
bi#xu 必需 必须 
bi#xu#pin 必需品 
bi#yao 必要 
bi#yao#tiao#jian 必要条件 
bi#yao#xing 必要性 
bi#ye 毕业 
bi#ye#sheng 毕业生 
bi#yi 裨益 
bi#yi#qi#fei 比翼齐飞 
bi#you#zhi#lu 必由之路 
bi#yu 比喻 碧玉 
bi#yun 避孕 
bi#zhao 比照 
bi#zhe 笔者 
bi#zhen 逼真 
bi#zhi 笔直 币值 
bi#zhong 比重 币种 
bi#zi 鼻子 
bi#zu 鼻祖 
bian 鞭 边 编 贬 扁 便 变 卞 辨 辩 辫 遍 成 匾 弁 苄 忭 汴 煸 砭 窆 褊 蝙 笾 鳊 
bian#ben#jia#li 变本加厉 
bian#bie 辨别 
bian#bo 辩驳 
bian#bu 遍布 
bian#cai 编采 
bian#ce 鞭策 
bian#cheng 边城 编成 编程 变成 
bian#chu 编出 
bian#chui 边陲 
bian#da 变大 
bian#dan 扁担 
bian#dao 编导 便道 
bian#de 变得 
bian#di 贬低 遍地 
bian#di#kai#hua 遍地开花 
bian#dian 变电 
bian#dian#suo 变电所 
bian#dong 变动 
bian#dui 编队 
bian#e 匾额 
bian#fa 变法 
bian#fan 便饭 
bian#fang 边防 遍访 
bian#fang#jun 边防军 
bian#fang#zhan 边防站 
bian#fei#wei#bao 变废为宝 
bian#fu 便服 蝙蝠 
bian#ge 变革 
bian#geng 变更 
bian#gu 变故 
bian#guan 边关 
bian#hao 编好 编号 
bian#hei 变黑 
bian#hu 辩护 
bian#hu#ren 辩护人 
bian#hua 变化 
bian#hua#duo#duan 变化多端 
bian#hua#mo#ce 变化莫测 
bian#hua#wu#chang 变化无常 
bian#huan 变换 变幻 
bian#huan#mo#ce 变幻莫测 
bian#ji 边际 编辑 遍及 
bian#ji#bu 编辑部 
bian#jian 边检 
bian#jiang 边疆 
bian#jie 边界 便捷 辩解 
bian#jing 边境 
bian#jing#xian 边境线 
bian#ju 编剧 
bian#leng 变冷 
bian#li 便利 
bian#lian 变脸 
bian#lu 边路 
bian#lun 辩论 
bian#lv 变绿 
bian#ma 编码 
bian#mai 变卖 
bian#mao 边贸 
bian#mi 便秘 
bian#min 边民 便民 
bian#nian#shi 编年史 
bian#nuan 变暖 
bian#pai 编排 
bian#pao 鞭炮 
bian#pin 变频 
bian#po 边坡 
bian#qi 便器 
bian#qian 变迁 
bian#qu 边区 
bian#ren 辨认 
bian#ru 编入 
bian#sai 边塞 
bian#se 变色 
bian#shang 边上 
bian#shen 编审 
bian#shi 便是 
bian#shu 变数 
bian#su 变速 
bian#su#xiang 变速箱 
bian#ta 鞭挞 
bian#tai 变态 
bian#ti#lin#shang 遍体鳞伤 
bian#tong 变通 
bian#wai 编外 
bian#wei 变为 变味 
bian#wei#hui 编委会 
bian#xi 辨析 
bian#xian 边线 变现 
bian#xiang 变相 
bian#xiao 变小 
bian#xie 编写 便携 
bian#xing 变形 
bian#xuan 编选 
bian#ya 变压 
bian#ya#qi 变压器 
bian#yan 边沿 
bian#yang 变样 
bian#ye 遍野 
bian#yi 编译 便衣 变异 
bian#yin 编印 
bian#yu 便于 
bian#yuan 边缘 边远 
bian#yuan#hua 边缘化 
bian#zao 编造 
bian#zhe 编者 
bian#zheng 辨证 辩证 
bian#zheng#fa 辩证法 
bian#zheng#wei#wu#zhu#yi 辩证唯物主义 
bian#zhi 编织 编制 贬值 变质 
bian#zhi#dai 编织袋 
bian#zhong 编钟 变种 
bian#zhu 编著 
bian#zhuan 编撰 
bian#zhuang 便装 
bian#zi 辫子 
bian#zu 编组 
bian#zu#zhan 编组站 
bian#zuan 编纂 
biao 标 彪 膘 表 婊 骠 杓 飙 飚 镖 镳 裱 
biao#bai 表白 
biao#bang 标榜 
biao#ben 标本 
biao#ben#jian#zhi 标本兼治 
biao#bing 标兵 彪炳 
biao#ceng 表层 
biao#chu 标出 
biao#da 表达 
biao#de 标的 
biao#di 标底 表弟 
biao#dian 标点 
biao#gan 标杆 
biao#ge 表哥 表格 
biao#hao 标号 
biao#ji 标记 
biao#jia 标价 
biao#jie 表姐 
biao#jue 表决 
biao#li 表里 
biao#lu 表露 
biao#mian 表面 
biao#ming 标明 表明 
biao#pai 标牌 
biao#pi 表皮 
biao#qian 标签 
biao#qing 表情 
biao#shang 标上 
biao#sheng 飙升 
biao#shi 标识 标示 表示 
biao#shu 表述 
biao#shuai 表率 
biao#tai 表态 
biao#ti 标题 
biao#tu 表土 
biao#xian 表现 
biao#xian#li 表现力 
biao#xiang 表象 
biao#xin#li#yi 标新立异 
biao#yan 表演 
biao#yan#sai 表演赛 
biao#yang 表扬 
biao#you 标有 
biao#yu 标语 
biao#zhang 表彰 
biao#zhang#hui 表彰会 
biao#zhi 标值 标志 标致 
biao#zhu 标注 
biao#zhun 标准 
biao#zhun#hua 标准化 
biao#zhun#shi 标准时 
bie 鳖 憋 别 瘪 蹩 
bie#chu 别处 
bie#chu#xin#cai 别出心裁 
bie#guo 别国 
bie#ju 别具 
bie#ju#yi#ge 别具一格 
bie#kai#sheng#mian 别开生面 
bie#kan 别看 
bie#ming 别名 
bie#niu 别扭 
bie#ren 别人 
bie#shi 别是 
bie#shu 别墅 
bie#shuo 别说 
bie#ti 别提 
bie#wu#xuan#ze 别无选择 
bie#yang 别样 
bie#you 别有 
bie#you#yong#xin 别有用心 
bie#zhi 别致 
bin 彬 斌 濒 滨 宾 摈 傧 缤 玢 槟 殡 膑 镔 髌 鬓 
bin#bin#you#li 彬彬有礼 
bin#fa 鬓发 
bin#fen 缤纷 
bin#guan 宾馆 
bin#hai 滨海 
bin#jiang 滨江 
bin#ke 宾客 
bin#lin 濒临 
bin#peng 宾朋 
bin#qi 摈弃 
bin#wei 濒危 
bin#yi#guan 殡仪馆 
bin#zang 殡葬 
bin#zhi#ru#gui 宾至如归 
bin#zhou 滨州 
bin#zhu 宾主 
bing 兵 冰 柄 丙 秉 饼 炳 病 并 屏 禀 邴 摒 槟 
bing#bao 冰雹 
bing#bian 病变 
bing#bu 兵部 并不 
bing#bu#shi 并不是 
bing#can 病残 
bing#ceng 冰层 
bing#chang 冰场 
bing#cheng 冰城 秉承 并成 
bing#chong#hai 病虫害 
bing#chuan 冰川 
bing#chuang 病床 
bing#cun 并存 
bing#dao 冰刀 冰岛 病倒 
bing#deng 冰灯 
bing#diao 冰雕 
bing#dong 冰冻 
bing#dong#san#chi 冰冻三尺 
bing#du 病毒 
bing#du#xing 病毒性 
bing#fa 并发 
bing#fa#zheng 并发症 
bing#fang 病房 
bing#fei 并非 
bing#fei#ru#ci 并非如此 
bing#fen#liang#lu 兵分两路 
bing#feng 冰封 冰峰 
bing#fu 病夫 
bing#gai 冰盖 
bing#gan 饼干 
bing#gen 病根 
bing#gong 兵工 秉公 
bing#gong#chang 兵工厂 
bing#gu 病故 
bing#gui 冰柜 并轨 
bing#gun 冰棍 
bing#hai 病害 
bing#hao 病号 
bing#he 冰河 
bing#jia 兵家 病假 
bing#jia#qi#qu 并驾齐驱 
bing#jian 并肩 
bing#jian#zuo#zhan 并肩作战 
bing#jin 并进 
bing#ju 并举 
bing#jun 病菌 
bing#kuai 冰块 
bing#lang 槟榔 
bing#leng 冰冷 
bing#li 兵力 病理 病历 病例 并立 
bing#liang 冰凉 
bing#lie 并列 
bing#ling 冰凌 
bing#ma#yong 兵马俑 
bing#mei 并没 
bing#mei#you 并没有 
bing#mian 冰面 
bing#mo 病魔 
bing#pai 并排 
bing#qi 兵器 摒弃 
bing#qi#lin 冰淇淋 
bing#qie 并且 
bing#qing 病情 
bing#qiu 冰球 
bing#qiu#sai 冰球赛 
bing#ren 病人 
bing#ru 并入 
bing#shan 冰山 
bing#shi 病史 病逝 
bing#shui 冰水 
bing#si 病死 
bing#ta 病榻 
bing#tai 病态 
bing#tang 冰糖 
bing#ti 病体 
bing#tian#xue#di 冰天雪地 
bing#tong 病痛 
bing#tuan 兵团 
bing#wang 并网 
bing#wang#fa#dian 并网发电 
bing#wei 病危 
bing#xi 丙烯 屏息 
bing#xiang 冰箱 
bing#xin 冰心 
bing#xing 秉性 并行 
bing#xiu 病休 
bing#xue 冰雪 
bing#xue#jie 冰雪节 
bing#yi 兵役 
bing#yi#fa 兵役法 
bing#yin 病因 
bing#ying 兵营 
bing#yong 并用 
bing#you 病友 
bing#yu 病愈 
bing#yuan 兵员 冰原 病员 
bing#zao 病灶 
bing#zhan 兵站 
bing#zheng 病症 
bing#zhong 兵种 病重 并重 
bing#zhu 屏住 
bo 柏 般 剥 薄 玻 菠 播 拨 钵 波 博 勃 搏 铂 箔 伯 帛 舶 脖 膊 渤 泊 驳 卜 魄 孛 亳 啵 饽 檗 擘 礴 钹 鹁 簸 趵 跛 踣 
bo#ai 博爱 
bo#bo 勃勃 伯伯 
bo#bo#sheng#ji 勃勃生机 
bo#cai 菠菜 博采 
bo#chang 波长 
bo#chi 驳斥 
bo#chu 播出 拨出 
bo#chuan 驳船 
bo#ci#wa#na 博茨瓦纳 
bo#da 拨打 博大 
bo#da#jing#shen 博大精深 
bo#de 博得 
bo#dong 拨动 波动 
bo#dou 搏斗 
bo#duan 波段 
bo#duo 剥夺 
bo#en 波恩 
bo#er#duo 波尔多 
bo#fa 播发 勃发 
bo#fang 播放 
bo#fu 拨付 伯父 
bo#gei 拨给 
bo#guang 波光 
bo#hai 渤海 
bo#hai#wan 渤海湾 
bo#hao 拨号 
bo#he 薄荷 
bo#hei 波黑 
bo#hui 驳回 
bo#ji 波及 搏击 
bo#kai 拨开 
bo#ke 玻壳 
bo#ke#li 伯克利 
bo#kuan 拨款 
bo#lai#pin 舶来品 
bo#lan 波兰 波澜 博览 
bo#lan#hui 博览会 
bo#lan#zhuang#kuo 波澜壮阔 
bo#lang 波浪 
bo#li 剥离 玻璃 
bo#li#chuang 玻璃窗 
bo#li#heng 伯利恒 
bo#li#wei#ya 玻利维亚 
bo#lin 柏林 
bo#luan#fan#zheng 拨乱反正 
bo#luo 剥落 菠萝 
bo#luo#di#hai 波罗的海 
bo#ming#han 伯明翰 
bo#mo 薄膜 
bo#ruo 薄弱 
bo#sha 搏杀 
bo#shi 剥蚀 博士 
bo#shi#dun 波士顿 
bo#shi#hou 博士后 
bo#shi#sheng 博士生 
bo#shi#xue#wei 博士学位 
bo#si 波斯 
bo#tao 波涛 
bo#te 波特 
bo#tong 拨通 
bo#wei 泊位 
bo#wen 波纹 
bo#wu 薄雾 
bo#wu#guan 博物馆 
bo#xia 播下 
bo#xue 剥削 博学 
bo#xue#jie#ji 剥削阶级 
bo#yin 播音 波音 
bo#yin#yuan 播音员 
bo#zhe 波折 
bo#zhong 播种 伯仲 
bo#zhong#ji 播种机 
bo#zi 脖子 
bu 堡 捕 卜 哺 补 埠 不 布 步 簿 部 怖 埔 卟 逋 瓿 晡 钚 
bu#an 不安 不谙 
bu#bai 不败 
bu#ban 补办 
bu#bao 不保 
bu#bao#kuo 不包括 
bu#bei#bu#kang 不卑不亢 
bu#bi 不比 不必 
bu#bi#yao 不必要 
bu#bian 不便 不变 
bu#bing 步兵 
bu#bu 步步 
bu#bu#wei#ying 步步为营 
bu#ce 不测 
bu#ceng 不曾 
bu#chang 补偿 不畅 
bu#chang#mao#yi 补偿贸易 
bu#cheng 不成 
bu#cheng#wen#ti 不成问题 
bu#chi 不齿 不啻 
bu#chong 补充 
bu#chu 不出 步出 
bu#chu#suo#liao 不出所料 
bu#chuo 不辍 
bu#ci 不辞 
bu#ci#lao#ku 不辞劳苦 
bu#ci#xin#lao 不辞辛劳 
bu#cuo 不错 
bu#da 不大 
bu#da#bu#xiao 不大不小 
bu#da#la#gong 布达拉宫 
bu#da#pei#si 布达佩斯 
bu#dai 布袋 
bu#dan 不丹 不单 不但 
bu#dang 不当 
bu#dao 不到 不道 
bu#dao#de 不道德 
bu#de 不得 
bu#de#bu 不得不 
bu#de#er#zhi 不得而知 
bu#de#liao 不得了 
bu#de#ren#xin 不得人心 
bu#de#yi 不得已 
bu#deng 不等 
bu#di 不敌 
bu#dian 布点 
bu#diao 步调 
bu#die 不迭 
bu#ding 补丁 不定 
bu#dong 不懂 不动 
bu#dong#chan 不动产 
bu#dong#sheng#se 不动声色 
bu#du 不独 
bu#duan 不端 不断 
bu#dui 不对 部队 
bu#dui#tou 不对头 
bu#fa 补发 不乏 不法 步伐 
bu#fa#fen#zi 不法分子 
bu#fa#qi#ren 不乏其人 
bu#fan 不凡 
bu#fang 不妨 
bu#fei 不菲 
bu#fen 不分 部分 
bu#fen#zhou#ye 不分昼夜 
bu#fu 不敷 不符 不服 不复 不付 
bu#fu#cun#zai 不复存在 
bu#fu#zhong#wang 不负众望 
bu#gai 不该 
bu#gan 不干 不甘 不敢 
bu#gan#ji#mo 不甘寂寞 
bu#gan#luo#hou 不甘落后 
bu#gan#shi#ruo 不甘示弱 
bu#gan#xin 不甘心 
bu#gong 不公 
bu#gou 不够 
bu#gu 不顾 
bu#gu#yi#qie 不顾一切 
bu#guan 不管 不惯 
bu#guan#zen#yang 不管怎样 
bu#guang 不光 
bu#gui 不贵 
bu#gui#ze 不规则 
bu#guo 不过 
bu#hao 不好 
bu#hao#guo 不好过 
bu#hao#yi#si 不好意思 
bu#he 不合 布赫 
bu#he#shi#yi 不合时宜 
bu#huan#er#san 不欢而散 
bu#huang#bu#mang 不慌不忙 
bu#hui 不会 不讳 
bu#huo 捕获 不惑 
bu#huo#zhi#nian 不惑之年 
bu#ji 补给 不及 不济 不计 部级 
bu#ji#qi#shu 不计其数 
bu#jia 不佳 不加 
bu#jia#le#si#te 布加勒斯特 
bu#jian 不见 部件 
bu#jian#dan 不简单 
bu#jian#de 不见得 
bu#jiang 部将 
bu#jiao 补交 补缴 
bu#jie 不竭 不解 
bu#jie#meng 不结盟 
bu#jin 不仅 不禁 不尽 
bu#jin#jin 不仅仅 
bu#jin#jin#shi 不仅仅是 
bu#jin#ran 不尽然 
bu#jin#ren#qing 不近人情 
bu#jin#ze#tui 不进则退 
bu#jing 布景 
bu#jing#er#zou 不胫而走 
bu#jing#qi 不景气 
bu#jing#yi 不经意 
bu#jiu 补救 不久 
bu#jiu#qian 不久前 
bu#ju 不拘 不惧 布局 
bu#ju#yi#ge 不拘一格 
bu#jue 不觉 不绝 
bu#jue#yu#er 不绝于耳 
bu#jun 不均 
bu#kan 不堪 
bu#kan#hui#shou 不堪回首 
bu#kan#she#xiang 不堪设想 
bu#ke 补课 不可 
bu#ke#bi#mian 不可避免 
bu#ke#bu 不可不 
bu#ke#duo#de 不可多得 
bu#ke#fen#ge 不可分割 
bu#ke#gu#liang 不可估量 
bu#ke#huo#que 不可或缺 
bu#ke#kai#jiao 不可开交 
bu#ke#kang#ju 不可抗拒 
bu#ke#kang#li 不可抗力 
bu#ke#mo#mie 不可磨灭 
bu#ke#neng 不可能 
bu#ke#pian#fei 不可偏废 
bu#ke#qi 不客气 
bu#ke#shou#shi 不可收拾 
bu#ke#si#yi 不可思议 
bu#ke#yu#yue 不可逾越 
bu#ken 不肯 
bu#kuai 不快 
bu#kui 不愧 
bu#la#di#si#la#fa 布拉迪斯拉发 
bu#la#ge 布拉格 
bu#lai 不赖 
bu#lang 布朗 
bu#lao 捕捞 
bu#lao#er#huo 不劳而获 
bu#lei 布雷 
bu#li 不理 不利 不力 布里 部里 
bu#li#yu 不利于 
bu#liang 不良 
bu#liao 不了 不料 布料 
bu#liao#liao#zhi 不了了之 
bu#lie 捕猎 
bu#ling 不灵 
bu#long#di 布隆迪 
bu#lu#sai#er 布鲁塞尔 
bu#lun 不论 
bu#lun#bu#lei 不伦不类 
bu#luo 部落 
bu#lv 步履 
bu#lv#jian#nan 步履艰难 
bu#lv#wei#jian 步履维艰 
bu#man 不满 布满 
bu#mang 不忙 
bu#mao#zhi#di 不毛之地 
bu#men 部门 
bu#mian 不免 布面 
bu#mian#zhi#ye 不眠之夜 
bu#miao 不妙 
bu#ming 不明 
bu#ming#bu#bai 不明不白 
bu#mou#er#he 不谋而合 
bu#nai#fan 不耐烦 
bu#nan 不难 
bu#neng 不能 
bu#neng#bu 不能不 
bu#neng#gou 不能够 
bu#neng#zi#ba 不能自拔 
bu#ning 不宁 
bu#pa 不怕 
bu#pei 不配 
bu#pi 布匹 
bu#pian#bu#yi 不偏不倚 
bu#piao 补票 
bu#pin 补品 
bu#ping 不平 
bu#qi 补齐 不起 
bu#qi#er#yu 不期而遇 
bu#qi#yan 不起眼 
bu#qiang 步枪 
bu#qiao 不巧 
bu#qie#shi#ji 不切实际 
bu#qing 不清 
bu#qu 不屈 不去 
bu#qu#bu#nao 不屈不挠 
bu#quan 不全 
bu#que 补缺 
bu#ran 不然 
bu#ren 不忍 
bu#ri 不日 
bu#rong 不容 
bu#rong#hu#shi 不容忽视 
bu#rong#zhi#yi 不容置疑 
bu#ru 哺乳 不如 步入 
bu#ru#dong#wu 哺乳动物 
bu#sha 捕杀 
bu#shan 不善 
bu#shang 补上 不上 
bu#shao 不少 
bu#she 不舍 布设 
bu#shen 不慎 
bu#sheng 不胜 
bu#sheng#bu#xiang 不声不响 
bu#sheng#mei#ju 不胜枚举 
bu#shi 不失 不时 不实 不是 不适 布什 布市 
bu#shi#shi#ji 不失时机 
bu#shi#wei 不失为 
bu#shou 部首 
bu#shu 部署 部属 
bu#shu#fu 不舒服 
bu#shuai 不衰 
bu#shui 补税 
bu#shun 不顺 
bu#shuo 不说 
bu#su 不俗 
bu#su#zhi#ke 不速之客 
bu#suan 不算 
bu#tai 不太 
bu#tiao 布条 
bu#tie 补贴 
bu#ting 不停 
bu#tong 不通 不同 
bu#tong#dian 不同点 
bu#tong#fan#xiang 不同凡响 
bu#tu 不图 
bu#tuo 不妥 
bu#wai 不外 
bu#wai#hu 不外乎 
bu#wan#quan 不完全 
bu#wang 不忘 
bu#wei 不畏 部委 部位 
bu#wei#suo#dong 不为所动 
bu#wen 不问 
bu#wen#bu#wen 不闻不问 
bu#wu 不无 不误 
bu#wu#dao#li 不无道理 
bu#wu#zheng#ye 不务正业 
bu#xi 补习 不息 不惜 
bu#xia 不下 布下 部下 
bu#xiang 不详 不想 不像 
bu#xiang#gan 不相干 
bu#xiang#shang#xia 不相上下 
bu#xiao 不消 不孝 
bu#xie 不懈 不屑 布鞋 
bu#xie#yi#gu 不屑一顾 
bu#xin 不信 
bu#xin#ren#an 不信任案 
bu#xing 不行 不幸 步行 
bu#xing#jie 步行街 
bu#xing#le 不行了 
bu#xing#ren#shi 不省人事 
bu#xiu 不休 不朽 
bu#xiu#gang 不锈钢 
bu#xu 不需 不虚 不须 不许 
bu#xu#ci#xing 不虚此行 
bu#xu#yao 不需要 
bu#xuan 补选 
bu#xun 不逊 
bu#ya#yu 不亚于 
bu#yan 不严 
bu#yan#er#yu 不言而喻 
bu#yan#qi#fan 不厌其烦 
bu#yao 补药 不要 
bu#yao#jin 不要紧 
bu#yao#ming 不要命 
bu#ye#cheng 不夜城 
bu#yi 不一 不依 不移 不宜 不已 不易 不意 不义 布衣 
bu#yi#ding 不一定 
bu#yi#er#fei 不翼而飞 
bu#yi#er#zu 不一而足 
bu#yi#le#hu 不亦乐乎 
bu#yi#wei#ran 不以为然 
bu#yi#yang 不一样 
bu#yi#yu#li 不遗余力 
bu#yi#zhi#cai 不义之财 
bu#ying#gai 不应该 
bu#yong 不用 
bu#yong#shuo 不用说 
bu#you 不由 
bu#you#de 不由得 
bu#you#fen#shuo 不由分说 
bu#you#zi#zhu 不由自主 
bu#yu 捕鱼 哺育 不渝 不予 不语 
bu#yuan 不远 不愿 
bu#yuan#qian#li 不远千里 
bu#yue 不悦 
bu#yue#er#tong 不约而同 
bu#yun#zheng 不孕症 
bu#zai 不再 不在 
bu#zai#hu 不在乎 
bu#zai#hua#xia 不在话下 
bu#zai#shao#shu 不在少数 
bu#zai#yi 不在意 
bu#ze#shou#duan 不择手段 
bu#zen#me 不怎么 
bu#zhan 布展 
bu#zhang 部长 
bu#zhang#hui#yi 部长会议 
bu#zhang#ji 部长级 
bu#zhe#bu#kou 不折不扣 
bu#zhen 不振 布阵 
bu#zheng 不争 
bu#zheng#zhi#feng 不正之风 
bu#zhi 不支 不知 不值 不止 不只 不致 不治 布置 
bu#zhi#bu#jue 不知不觉 
bu#zhi#suo#cuo 不知所措 
bu#zhi#yu 不至于 
bu#zhi#zhi#zheng 不治之症 
bu#zhong 不中 
bu#zhou 不周 步骤 
bu#zhu 补助 不住 
bu#zhu#jin 补助金 
bu#zhun 不准 
bu#zhuo 捕捉 
bu#zi 步子 
bu#zu 补足 不足 部族 
bu#zu#qu 不足取 
bu#zu#wei#qi 不足为奇 
ca 擦 拆 嚓 礤 
ca#bian#qiu 擦边球 
ca#gan 擦干 
ca#jian#er#guo 擦肩而过 
ca#liang 擦亮 
ca#xie 擦鞋 
cai 猜 裁 材 才 财 睬 踩 采 彩 菜 蔡 
cai#bian 采编 
cai#ce 猜测 
cai#cha 采茶 
cai#chan 财产 
cai#chan#quan 财产权 
cai#chang 菜场 
cai#che 彩车 
cai#chou 彩绸 
cai#da#qi#cu 财大气粗 
cai#dai 彩带 
cai#dan 菜单 
cai#dao 菜刀 
cai#deng 彩灯 
cai#di 菜地 
cai#dian 彩电 
cai#ding 裁定 
cai#fa 采伐 
cai#fan 菜贩 
cai#fang 采访 
cai#feng 裁缝 采风 
cai#fu 财富 
cai#gan 才干 
cai#gou 采购 
cai#guang 采光 
cai#hao 才好 
cai#hong 彩虹 
cai#hua 才华 菜花 
cai#hua#heng#yi 才华横溢 
cai#hui 财会 彩绘 
cai#ji 采集 
cai#jia 菜价 
cai#jian 裁减 
cai#jie 财界 
cai#jing 财经 
cai#jue 裁决 采掘 
cai#jun 裁军 
cai#kuang 采矿 
cai#lan#zi 菜篮子 
cai#li 财力 
cai#liao 材料 
cai#liao#ke#xue 材料科学 
cai#lu 财路 
cai#mao 财贸 
cai#mei 采煤 
cai#mi 猜谜 
cai#miao 菜苗 
cai#ming 菜名 
cai#na 采纳 
cai#neng 才能 
cai#nong 菜农 
cai#pai 彩排 
cai#pan 裁判 
cai#pan#yuan 裁判员 
cai#piao 彩票 
cai#pu 菜谱 
cai#qi 才气 彩旗 
cai#qing 才情 
cai#qu 采取 
cai#quan 财权 
cai#se 彩色 
cai#shen 财神 
cai#shen#ye 财神爷 
cai#shi 才是 采石 菜市 
cai#shi#chang 菜市场 
cai#shou 采收 
cai#shu 菜蔬 
cai#shui 财税 
cai#si 才思 
cai#tan 菜摊 
cai#tao 彩陶 
cai#tuan 财团 
cai#wa 采挖 
cai#wu 财物 财务 
cai#xia 彩霞 
cai#xiang 猜想 
cai#xie 采写 采撷 
cai#xue 才学 
cai#yang 采样 
cai#yao 采药 菜肴 
cai#ye 菜叶 
cai#yi 猜疑 
cai#yin 彩印 
cai#yong 采用 
cai#you 采油 
cai#yuan 裁员 财源 菜园 
cai#yun 彩云 
cai#zhai 采摘 
cai#zhang 财长 
cai#zheng 财政 
cai#zheng#bu 财政部 
cai#zheng#bu#zhang 财政部长 
cai#zheng#ting 财政厅 
cai#zheng#wei#ji 财政危机 
cai#zhi 材质 才智 
cai#zhong 菜种 
cai#zi 才子 
can 餐 参 蚕 残 惭 惨 灿 孱 骖 璨 粲 黪 
can#an 惨案 
can#bai 参拜 惨败 
can#bao 残暴 
can#bu#ren#du 惨不忍睹 
can#che 餐车 
can#cun 残存 
can#dou 蚕豆 
can#fei 残废 
can#gu 参股 
can#guan 餐馆 参观 
can#guan#zhe 参观者 
can#hai 残骸 残害 
can#hui 参会 
can#huo 惨祸 
can#ji 残疾 
can#ji#ren 残疾人 
can#jia 参加 
can#jia#wan 参加完 
can#jia#zhe 参加者 
can#jian 参建 蚕茧 
can#jin 餐巾 
can#ju 餐具 残局 惨剧 
can#jue#ren#huan 惨绝人寰 
can#jun 参军 
can#kao 参考 
can#kao#shu 参考书 
can#ku 残酷 
can#kui 惭愧 
can#lan 灿烂 
can#lian 残联 
can#lie 惨烈 
can#liu 残留 
can#mou 参谋 
can#mou#bu 参谋部 
can#mou#zhang 参谋长 
can#pian 残片 
can#ping 参评 
can#po 残破 
can#que 残缺 
can#que#bu#quan 残缺不全 
can#ren 残忍 
can#sai 参赛 
can#sai#zhe 参赛者 
can#sang 蚕桑 
can#sha 残杀 
can#shi 参事 蚕食 
can#shu 参数 
can#si 惨死 
can#tian 参天 
can#ting 餐厅 
can#tong 惨痛 
can#xuan 参选 
can#xun 参训 
can#yi 参议 
can#yi#yuan 参议员 参议院 
can#yin 餐饮 
can#yin#ye 餐饮业 
can#yu 参与 残余 
can#yu#zhe 参与者 
can#yuan 参院 
can#yue 参阅 
can#zan 参赞 
can#zao 惨遭 
can#zha 残渣 
can#zhan 参展 参战 
can#zhao 参照 
can#zheng 参政 
can#zheng#dang 参政党 
can#zheng#yi#zheng 参政议政 
can#zhong 参众 惨重 
can#zhuo 餐桌 
cang 苍 舱 仓 沧 藏 伧 
cang#bai 苍白 
cang#cang 苍苍 
cang#chu 仓储 
cang#cu 仓促 
cang#cui 苍翠 
cang#fang 仓房 
cang#hai 沧海 
cang#hai#sang#tian 沧海桑田 
cang#huang 仓皇 
cang#jin 苍劲 
cang#ku 仓库 
cang#lao 苍老 
cang#liang 苍凉 
cang#mang 苍茫 
cang#men 舱门 
cang#ni 藏匿 
cang#pin 藏品 
cang#qiong 苍穹 
cang#sang 沧桑 
cang#shan 苍山 
cang#shen 藏身 
cang#shu 藏书 
cang#tian 苍天 
cang#xian 沧县 
cang#ying 苍蝇 
cang#you 藏有 
cang#zhou 沧州 
cao 操 糙 槽 曹 草 嘈 漕 螬 
cao#an 草案 
cao#ban 操办 
cao#ben 草本 
cao#bian 草编 
cao#cao 曹操 草草 
cao#chang 操场 草场 
cao#chi 操持 
cao#cong 草丛 
cao#dao 操刀 
cao#di 草地 
cao#fang 草房 
cao#gao 草稿 
cao#gen 草根 
cao#lao 操劳 
cao#lian 操练 
cao#liao 草料 
cao#mao 草帽 
cao#mei 草莓 
cao#mu 草木 
cao#ni 草拟 
cao#peng 草棚 
cao#pi 草皮 
cao#ping 草坪 
cao#po 草坡 
cao#qian 草签 
cao#shi 草食 
cao#shou 操守 
cao#shu 草书 
cao#shuai 草率 
cao#tu 草图 
cao#wu 草屋 
cao#xi 草席 
cao#xian 曹县 
cao#xie 草鞋 
cao#xin 操心 
cao#xue#qin 曹雪芹 
cao#yao 草药 
cao#yu 草鱼 
cao#yuan 草原 
cao#za 嘈杂 
cao#zhi 曹志 
cao#zhi#guo#ji 操之过急 
cao#zong 操纵 
cao#zuo 操作 
cao#zuo#xi#tong 操作系统 
cao#zuo#yuan 操作员 
ce 厕 策 侧 册 测 恻 
ce#bao 测报 
ce#chu 测出 
ce#ding 测定 
ce#dong 策动 
ce#hua 策划 
